full_id,osm_id,osm_type,osm_versio,osm_timest,osm_uid,osm_user,osm_change,maxspeed,tiger_na_3,tiger_na_4,tiger_na_5,tiger_na_6,parking_la,name_1,turn_lan_2,oneway,lanes,hgv,destinat_1,tiger_zi_1,tiger_zi_2,tiger_revi,tiger_na_7,tiger_na_8,tiger_coun,tiger_cfcc,surface,name,highway,distance,angle,x,y,SVI_ID
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,200,299.105885,-73.95261214,40.80073006,26
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,300,299.105885,-73.95339702,40.80106211,27
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,400,299.091596,-73.9541824,40.80139348,28
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,500,299.091596,-73.95496739,40.80172538,29
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,600,299.091596,-73.95575237,40.80205727,30
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,700,299.091596,-73.95653736,40.80238917,31
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,800,299.1996447,-73.95732544,40.80271678,32
w5669985,5669985,way,10,2021-10-06T05:16:41.000,2591427,snake21,112150217,,St,W,W,113,,West 113 Street,,yes,,,,10026,10026,no,St,113th,"New York, NY",A41,,West 113th Street,residential,900,299.1996447,-73.9581096,40.8030498,33
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,0,298.8850496,-73.9595472,40.7987264,34
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,100,298.8801831,-73.96033379,40.79905612,35
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,200,298.8337536,-73.96112044,40.79938574,36
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,300,298.8337536,-73.96190739,40.79971496,37
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,400,299.1432904,-73.96269343,40.80004542,38
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,500,299.1432904,-73.96347802,40.80037787,39
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,600,299.1919687,-73.96426226,40.8007108,40
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,700,299.1919687,-73.96504648,40.80104375,41
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,800,299.0979343,-73.96583147,40.80137563,42
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,900,299.0979343,-73.96661641,40.8017076,43
w5670129,5670129,way,17,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,107,,West 107 Street,,yes,1,,,,,,St,107th,"New York, NY",A41,asphalt,West 107th Street,residential,1000,299.0979343,-73.96740135,40.80203956,44
w5670539,5670539,way,15,2022-02-07T03:02:28.000,384667,MxxCon,117100043,,St,W,W,116,,West 116 Street,,no,,,,10027,10027,no,St,116th,"New York, NY",A41,asphalt,West 116th Street,residential,0,299.0404231,-73.95936,40.8061125,45
w5670539,5670539,way,15,2022-02-07T03:02:28.000,384667,MxxCon,117100043,,St,W,W,116,,West 116 Street,,no,,,,10027,10027,no,St,116th,"New York, NY",A41,asphalt,West 116th Street,residential,100,299.1605427,-73.96014457,40.80644494,46
w5670539,5670539,way,15,2022-02-07T03:02:28.000,384667,MxxCon,117100043,,St,W,W,116,,West 116 Street,,no,,,,10027,10027,no,St,116th,"New York, NY",A41,asphalt,West 116th Street,residential,200,299.1695382,-73.96092903,40.80677754,47
w5670544,5670544,way,16,2021-09-08T12:30:22.000,11089099,YuliyaShustava_lyft,110917559,,St,W,W,112,,West 112 Street,,yes,,,,10025,10025,no,St,112th,"New York, NY",A41,asphalt,West 112th Street,residential,0,118.9613399,-73.967373,40.806127,48
w5670544,5670544,way,16,2021-09-08T12:30:22.000,11089099,YuliyaShustava_lyft,110917559,,St,W,W,112,,West 112 Street,,yes,,,,10025,10025,no,St,112th,"New York, NY",A41,asphalt,West 112th Street,residential,100,118.9613399,-73.96658702,40.80579648,49
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,0,298.9888256,-73.9605349,40.7973764,50
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,100,298.7353223,-73.9613215,40.79770609,51
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,200,299.0762223,-73.96210874,40.79803492,52
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,300,299.0762223,-73.96289384,40.79836668,53
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,400,298.9363084,-73.96367936,40.79869786,54
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,500,298.9363084,-73.96446553,40.79902816,55
w5670640,5670640,way,21,2022-07-28T03:54:05.000,2591427,snake21,124164077,25 mph,St,W,W,105,,West 105 Street,,yes,1,,,10025,10025,no,St,105th,"New York, NY",A41,,West 105th Street,residential,600,298.9363084,-73.9652517,40.79935845,56
